English,Translation
Rabbits like to eat carrots.,খরগোশ গাজর খেতে পছন্দ করে।
She didn't order dinner yet.,সে এখনো রাতের খাবারের অর্ডার দেয়নি।
She didn't order dinner yet.,তিনি এখনও রাতের খাবার আনতে বলেননি।
She didn't tell me her name.,উনি আমাকে ওনার নাম বলেননি।
She didn't tell me her name.,ও আমাকে ওর নাম বলেনি।
She didn't tell me her name.,তিনি আমাকে তাঁর নাম বলেননি।
She didn't tell me her name.,সে আমাকে তার নাম বলেনি।
She was wearing a black hat.,সে একটা কালো টুপি পরেছিল।
Snow fell early this winter.,এই বছর আগেভাগেই তুষারপাত হয়েছে।
The computer might not work.,কম্পিউটারটি কাজ নাও করতে পারে।
They died one after another.,তারা একজন একজন করে মারা গেল।
This pen doesn't write well.,এই কলমটা ভালো মতন লিখে না।
Those who know him like him.,যারা তাকে চেনে তারা তাকে পছন্দ করে।
Tom and Mary are very happy.,টম আর মেরি খুব খুশি।
Tom and Mary want to see us.,টম আর মেরি আমাদের সঙ্গে দেখা করতে চায়।
Tom can't come over tonight.,টম আজ রাতে আসতে পারবে না।
Tom doesn't even want to go.,এমনকি টম যেতেও চায় না।
Tom doesn't look very happy.,টমকে দেখে খুব খুশি বলে মনে হচ্চে না।
Tom doesn't want to be here.,টম এখানে থাকতে চায় না।
Tom doesn't want to do that.,টম ওটা করতে চায় না।
Tom doesn't want to do this.,টম এটা করতে চায় না।
Tom doesn't want to give up.,টম হাল ছেড়ে দিতে চায় না।
Tom doesn't want to hear it.,টম এটা শুনতে চায় না।
Tom doesn't want to hurt us.,টম আমাদের আঘাত দিতে চায় না।
Tom doesn't want to see you.,টম আপনার সঙ্গে দেখা করতে চায় না।
Tom doesn't want to see you.,টম তোমার সঙ্গে দেখা করতে চায় না।
Tom doesn't want to see you.,টম তোর সঙ্গে দেখা করতে চায় না।
Tom has never been so happy.,টম এত খুশি কখনো হয় নি।
Tom has too much work to do.,টমের অনেক কাজ করা বাকি আছে।
Tom is a good husband to me.,টম আমার কাছে একজন ভালো স্বামী।
"Tom is in trouble, isn't he?","টম ঝামেলায় পরেছে, তাই না?"
Tom is not happy about this.,টম এটার ব্যপারে খুশি নয়।
Tom may not want to do that.,টম ওটা নাও করতে চাইতে পারে।
Tom said Mary is a good mom.,টম বলেছে মেরি একজন ভালো মা।
Tom seemed happy to see you.,টম আপনাকে দেখে খুশি বলে মনে হচ্চে।
Tom seems happy and excited.,টমকে দেখে খুশি আর উদ্দীপিত বলে মনে হচ্চে।
Tom shot and killed a tiger.,টম একটি বাঘকে গুলি করে মেরেছে।
Tom still has a few options.,টমের এখনও কিছু বিকল্প আছে।
Tom took me to the hospital.,টম আমাকে হাসপাতালে নিয়ে গিয়েছিল।
Tom waited outside the gate.,টম গেটের বাইরে অপেক্ষা করলো।
Tom wanted advice from Mary.,টম মেরির কাছ থেকে পরামর্শ চেয়েছিল।
Tom wanted to talk with you.,টম আপনার সাথে কথা বলতে চেয়েছিল।
Tom wanted to talk with you.,টম তোমার সাথে কথা বলতে চেয়েছিল।
Tom wanted to talk with you.,টম তোর সাথে কথা বলতে চেয়েছিল।
Tom wanted you to have this.,টম চেয়েছিল আপনি এটা নেন।
Tom wanted you to have this.,টম চেয়েছিল তুমি এটা নাও।
Tom wanted you to have this.,টম চেয়েছিল তুই এটা নিস।
Tom wants his umbrella back.,টম ওর ছাতাটা ফেরত চায়।
Tom wants his umbrella back.,টম তার ছাতাটা ফেরত চায়।
Tom wants me to go with him.,টম চায় আমি ওর সঙ্গে যাই।
Tom wants me to go with him.,টম চায় আমি তার সঙ্গে যাই।
Tom wants to go job hunting.,টম চাকরির খোঁজে যেতে চায়।
Tom wants to speak with you.,টম আপনার সাথে কথা বলতে চায়।
Tom wants to speak with you.,টম তোমার সাথে কথা বলতে চায়।
Tom wants to speak with you.,টম তোর সাথে কথা বলতে চায়।
Tom was glad Mary was there.,মেরি সেখানে থাকায় টম খুশি হয়েছিল।
Tom was such a happy person.,টম কত সুখি মানুষ ছিল।
Tom was very busy with work.,টম কাজ নিয়ে খুব ব্যস্ত ছিল।
Tom worked as a dog trainer.,টম কুকুরের প্রশিক্ষক হিসেবে কাজ করত।
Tom wrote a song about Mary.,টম মেরিকে নিয়ে একটা গান লিখলো।
"Tom, I want to talk to Mary.","টম, আমি মেরির সঙ্গে কথা বলতে চাই।"
We all want Tom to be happy.,আমরা সবাই চাই টম সুখে থাকুক।
We bought some tennis balls.,আমরা কিছু টেনিস বল কিনেছি।
We heard Tom was in trouble.,আমরা শুনলাম টম ঝামেলায় পরেছিল।
We just want to talk to Tom.,আমরা খালি টমের সাথে কথা বলতে চাই।
We wanted to talk about Tom.,আমরা টমের ব্যপারে কথা বলতে চেয়েছিলাম।
We were both a little drunk.,আমরা দুজনেই একটু মাতাল ছিলাম।
What size shoes do you wear?,আপনি কোন মাপের জুতো পরেন?
What team does Tom play for?,টম কোন দলের হয়ে খেলে?
"When Tom's happy, I'm happy.","যখন টম খুশি, তখন আমিও খুশি।"
Where are those people from?,ঐ লোকগুলো কোথায় থেকে এসেছে?
Where did you get this ring?,এই আংটি আপনি কোথায় পেয়েছেন?
Where do I claim my baggage?,আমি আমার মালপত্র কোথা থেকে দাবি করব?
Where is the duty-free shop?,শুল্কমুক্ত জিনিস কেনার দোকানটা কোথায়?
Why do you want to hurt Tom?,আপনি টমকে আঘাত দিতে চান কেন?
Why do you want to hurt Tom?,তুমি টমকে আঘাত দিতে চাও কেন?
Why do you want to hurt Tom?,তুই টমকে আঘাত দিতে চাস কেন?
Why do you want to meet Tom?,আপনি টমের সঙ্গে কেন দেখা করতে চান?
Why do you want to meet Tom?,তুমি টমের সঙ্গে কেন দেখা করতে চাও?
Why do you want to meet Tom?,তুই টমের সঙ্গে কেন দেখা করতে চাস?
Will you have lunch with me?,তুমি কি আমার সাথে দুপুরের খাবার খাবে?
You can't fool me this time.,এবার আর আপনি আমায় বোকা বানাতে পারবেন না।
You must show your passport.,আপনাকে আপনার পাসপোর্ট দেখাতে হবে।
You should get back to work.,আপনার কাজে ফিরে আসা উচিত।
You're so impatient with me.,তুমি আমার প্রতি বড্ড অধৈর্য্য।
You're so impatient with me.,আপনি আমার প্রতি বড্ড অধৈর্য্য।
All my friends will be there.,আমার সব বন্ধুরা ওখানে থাকবে।
All that glitters isn't gold.,চকচক করলেই সোনা হয় না।
Can I ask you some questions?,আমি কি তোমাকে কিছু প্রশ্ন জিজ্ঞাসা করতে পারি?
Can I ask you some questions?,আমি কি আপনাকে কিছু প্রশ্ন জিজ্ঞাসা করতে পারি?
Can you give me a cup of tea?,তুমি কি আমাকে এক কাপ চা দিতে পারবে?
Cholera is uncommon in Japan.,জাপানে কলেরা দেখা যায় না।
Could you please repeat that?,আপনি কি অনুগ্রহ করে আর একবার বলতে পারবেন?
Could you take a photo of me?,আপনি কি আমার একটা ছবি তুলতে পারবেন?
Do you want to watch a movie?,তুমি কি সিনেমা দেখতে চাও?
Do your best and don't worry.,আপনার যথাসাধ্য চেষ্টা করুন এবং দুশ্চিন্তা করবেন না।
Does Tom know he was adopted?,টম কি জানে তাকে দত্তক নেওয়া হয়েছিল?
Don't ask me what that means.,আমাকে এর অর্থ জিজ্ঞেস করবেন না।
Don't speak to Tom like that.,টমের সাথে ওইভাবে কথা বলবেন না।
Don't speak to Tom like that.,টমের সাথে ওইভাবে কথা বলবে না।
Don't tell anyone I was here.,আমি যে এখানে ছিলাম তা কাউকে বলবেন না।
Don't you want to discuss it?,আপনি কি এটা আলোচনা করতে চান না?
Have you ever been to Boston?,আপনি কি কখনো বস্টন গেছেন?
Have you ever been to Boston?,তুমি কি কখনো বস্টন গেছো?
Have you ever eaten raw fish?,আপনি কখনো কাঁচা মাছ খেয়েছেন?
Have you ever eaten raw fish?,তুমি কখনো কাঁচা মাছ খেয়েছো?
Have you ever visited Boston?,আপনি কি কখনো বস্টন দেখতে গেছেন?
Have you ever visited Boston?,তুমি কি কখনো বস্টন দেখতে গেছো?
He can say whatever he wants.,ওনার যা ইচ্ছে উনি বলতে পারেন।
He can say whatever he wants.,ওর যা ইচ্ছে ও বলতে পারে।
He can say whatever he wants.,তার যা ইচ্ছে সে বলতে পারে।
He can say whatever he wants.,তাঁর যা ইচ্ছে তিনি বলতে পারেন।
He is a teacher and novelist.,উনি একজন শিক্ষক এবং ঔপন্যাসিক।
Hitler assumed power in 1933.,হিটলার ১৯৩৩ সালে ক্ষমতা গ্রহণ করেন।
How did you come to know her?,আপনি ওকে চিনলেন কি কোরে?
How did you come to know her?,আপনি ওনাকে চিনলেন কি কোরে?
How did you come to know her?,তুমি ওকে চিনলে কি কোরে?
How did you come to know her?,তুই ওকে চিনলি কি কোরে?
How did you come to know her?,তুমি ওনাকে চিনলে কি কোরে?
How did you come to know her?,তুই ওনাকে চিনলি কি কোরে?
How far is it to the airport?,এয়ারপোর্ট কত দুর এখান থেকে?
How many times must I say no?,আমায় কতবার না বলতে হবে?
I don't feel like eating now.,আমার এখন খেতে ইচ্ছে করছে না।
I don't like making mistakes.,আমি ভুল করা পছন্দ করি না।
I don't like to drink coffee.,আমার কফি খেতে ভালো লাগে না।
I don't use Facebook anymore.,আমি আর ফেসবুক ব্যবহার করি না।
I don't want to be like that.,আমি ওইরকম হতে চাই না।
I don't want to go to Boston.,আমি বস্টনে যেতে চাই না।
I don't want to go to school.,আমি স্কুলে যেতে চাই না।
I don't want to hear a story.,আমি গল্প শুনতে চাই না।
I found the book interesting.,আমার বইটা আকর্ষণীয় বলে মনে হয়েছিল।
I go to school every morning.,আমি প্রতিদিন সকালে স্কুলে যাই।
I have a three-year contract.,আমার কাছে তিন বছরের চুক্তি আছে।
I haven't gotten a reply yet.,আমি এখনও একটি উত্তর পাইনি।
I hope Tom doesn't forget me.,আশা করি টম আমাকে ভুলে যাবে না।
I just realized I'm dreaming.,আমি কেবল বুঝলাম আমি স্বপ্ন দেখছি।
I knew Tom wouldn't eat that.,আমি জানতাম টম এটা খাবে না।
I knew you wouldn't be fired.,আমি জানতাম যে তোমাকে বরখাস্ত করা হবে না।
I know how these things work.,এটা কীভাবে কাজ করে তা আমি জানি।
I know that Tom was truthful.,আমি জানি টম সত্যি বলেছিল।
I never listen to Tom anyway.,আমি এমনিতেও কখনও টমের কথা শুনি না।
I only speak French with Tom.,আমি টমের সঙ্গে খালি ফরাসি ভাষায় কথা বলি।
I only speak a little French.,আমি খালি একটু ফরাসি ভাষায় কথা বলি।
I ran in order to be on time.,সময়মতো পৌঁছানোর জন্য আমি দৌঁড়েছিলাম।
I think both of you know Tom.,আমার মনে হয় আপনারা দুজনেই টমকে চেনেন।
I used to swim in this river.,আমি এই নদীতে সাঁতার কাটতাম।
I want to deposit some money.,আমি কিছু টাকা জমা করতে চাই।
I want to talk to the police.,আমি পুলিশের সাথে কথা বলতে চাই।
I watched the movie with Tom.,আমি টমের সাথে সিনেমাটি দেখেছি।
I'd like to cancel my ticket.,আমি আমার টিকিটটি বাতিল করতে চাই।
I'd like to change my ticket.,আমি আমার টিকিটটি পালটাতে চাই।
I'll be back in five minutes.,আমি পাঁচ মিনিটের মধ্যে ফিরে আসবো।
I'll be back in half an hour.,আমি আধা ঘন্টার মধ্যে ফিরে আসবো।
I'm catching the 11:00 train.,আমি ১১ঃ০০টার ট্রেনটা ধরতে যাচ্ছি।
I'm hoping that won't happen.,আশা করি সেটা ঘটবে না।
I'm hoping that won't happen.,আশা করছি সেটা হবে না।
I'm not proud of how I acted.,আমি যে ভাবে ব্যবহার করেছি তাতে আমি গর্বিত নই।
I'm sorry I kept you waiting.,আমাকে ক্ষমা করবেন আমি আপনাকে অপেক্ষা করিয়ে রেখেছিলাম।
I'm sorry I kept you waiting.,আমাকে ক্ষমা করবে আমি তোমাকে অপেক্ষা করিয়ে রেখেছিলাম।
"I'm sorry, I can't stay long.","আমায় ক্ষমা করবেন, আমি বেশিক্ষণ থাকতে পারবো না।"
I'm starting to learn French.,আমি ফরাসি শেখা শুরু করছি।
"I'm very, very happy for Tom.",আমি টমের জন্য খুব খুশি।
I've been working on a novel.,আমি একটা উপন্যাস নিয়ে কাজ করছি।
May I have your phone number?,আমি কি আপনার ফোন নাম্বারটি পেতে পারি?
May I see what's in your bag?,আমি কি দেখতে পারি তোমার ব্যাগে কী আছে?
May I turn on the television?,আমি কি টিভি চালাতে পারি?
My stomach hurts after meals.,খাওয়ার পর আমার পেট ব্যাথা করে।
One language is never enough.,মাত্র একটি ভাষা যথেষ্ট নয়।
Please look after my luggage.,দয়া করে আমার মলপত্রটা দেখবেন।
Queen Elizabeth died in 1603.,রানী এলিজাবেথ ১৬০৩ সালে মারা যান।
That happened three days ago.,ওটা তিন দিন আগে ঘটেছিল।
That's because you're a girl.,তার কারণ তুমি একজন মেয়ে।
That's because you're a girl.,তার কারণ তুই একজন মেয়ে।
That's why we need your help.,সেজন্য আমাদের আপনার সাহায্য দরকার।
The museum is closed Sundays.,জাদুঘরটা রবিবার করে বন্ধ থাকে।
The news of his death spread.,তার মৃত্যুর খবর ছড়িয়ে পড়েছে।
There's one cup on the table.,টেবিলটার উপর একটা কাপ রয়েছে।
They wanted to steal the car.,তারা গাড়িটা চুরি করতে চাইলো।
This is the only book I have.,আমার কাছে কেবল এই একটি বই আছে।
Tom didn't dare to look back.,টম পেছনে ফিরে তাকানোর সাহস দেখায়নি।
Tom doesn't know Mary's kids.,টম মেরির বাচ্চাদের চেনে না।
Tom doesn't watch war movies.,টম যুদ্ধের সিনেমা দেখে না।
Tom flew to Boston yesterday.,টম গতকাল বস্টন উড়ে গেছে।
Tom left the box unprotected.,টম বাক্সটি অরক্ষিত রেখে গিয়েছিল।
Tom lost everything he owned.,টম তার মালিকানাধীন সবকিছু হারিয়েছে।
Tom ought to have been there.,টমের ওখানে থাকা উচিৎ ছিলো।
Tom owes Mary thirty dollars.,মেরির কাছে টমের ত্রিশ ডলার পায়।
Tom waited to hear from Mary.,টম মেরির কাছ থেকে খবর পাওয়ার জন্য অপেক্ষা করে ছিল।
Tom wants to know who we are.,আমরা কে টম জানতে চায়।
Tom will be thirty next year.,টম পরের বছর তিরিশে পা দেবে।
"Turn down the volume, please.",অনুগ্রহ করে আওয়াজটা একটু কমান।
We both know that's not true.,আমরা দুজনেই জানি যে সেটা সত্যি নয়।
We get together once a month.,আমরা মাসে একবার করে একত্রিত হই।
We have to move very quickly.,আমাদেরকে খুব তাড়াতাড়ি চলতে হবে।
We're not here to arrest you.,আমরা আপনাকে গ্রেপ্তার করতে এখানে আসিনি।
We're still living in Boston.,আমরা এখনও বোস্টনে বাস করছি।
What else did you want to do?,আপনি আর কী করতে চেয়েছিলেন?
When and where shall we meet?,আমরা কখন এবং কোথায় দেখা করব?
When is the breakfast served?,সকালের খাওয়াটা কখন দেওয়া হয়?
Where can I buy one of those?,আমি ওইগুলোর একটা কোথা থেকে কিনতে পারব?
Where can I claim my luggage?,আমি কোথা থেকে আমার মালপত্রটা পাব?
Where can I claim my luggage?,আমি কোথা থেকে আমার মালপত্রটা নিতে পারব?
Who did you buy this car for?,আপনি এই গাড়িটি কার জন্য কিনেছেন?
Who wants some hot chocolate?,কার একটু হট চকোলেট চাই?
Why couldn't Tom go with you?,টম আপনার সাথে যেতে পারেনি কেন?
Why do you need two bicycles?,আপনার দুটি বাইসাইকেল কেন দরকার?
Why don't we go to Australia?,আমরা অস্ট্রেলিয়াতে যাচ্ছি না কেন?
Why should I leave Australia?,আমি কেন অস্ট্রেলিয়া ছেড়ে যাব?
"You don't understand, do you?","তুমি বুঝতে পারছ না, তাই না?"
You had me completely fooled.,তুমি আমাকে পুরোপুরি বোকা বানিয়েছিলে।
All that glitters is not gold.,চকচক করলেই সোনা হয় না।
Aren't you scared of anything?,তুমি কি কিছুতেই ভয় পাও না?
Can you please do this for me?,আপনি আমার জন্য এটা করতে পারেন?
Close the door when you leave.,বেড়োবার সময় দরজাটা বন্ধ করে দিও।
Close the door when you leave.,বেড়োবার সময় দরজাটা বন্ধ করে দেবেন।
Could we have a table outside?,আমরা কি বাইরে একটা টেবিল পেতে পারি?
"Could you repeat that, please?",আপনি কি অনুগ্রহ করে আর একবার বলতে পারবেন?
Did you remember to buy a map?,আপনার কি মানচিত্র কিনতে মনে ছিল?
Do the police know about this?,পুলিশ কি এ ব্যাপারে জানে?
Do you have a washing machine?,আপনার কি ওয়াশিং মেশিন আছে?
Do you have any cheaper rooms?,আরও সস্তা কোন ঘর আছে?
Do you understand what I mean?,আমি কী বলতে চাইছি আপনি বুঝতে পারছেন?
Do you understand what I mean?,আমি যা বলতে চাইছি আপনি কি তা বুঝতে পারছেন?
Do you understand what I mean?,আমি কী বলতে চাইছি তুমি বুঝতে পারছো?
Do you understand what I mean?,আমি যা বলতে চাইছি তুমি কি তা বুঝতে পারছো?
Do you want to eat now or not?,তুমি এখন খেতে চাও কি না?
Have you already eaten supper?,আপনি ইতিমধ্যে কি রাতের খাবার খেয়ে নিয়েছেন?
He died at the age of seventy.,সত্তর বছর বয়সে তিনি মারা যান।
He had more than enough money.,তার প্রয়োজনের চেয়ে বেশিই টাকা ছিল।
He was busy with his homework.,তিনি বাড়ির কাজ নিয়ে ব্যস্ত ছিলেন।
He would be glad to hear that.,তিনি এটা শুনে খুশি হবেন।
I am looking for a good hotel.,আমি একটা ভাল হোটেল খুঁজছি।
I bought a book about animals.,আমি পশু সম্পর্কিত একটি বই কিনেছি।
I can't believe Tom got fired.,আমি বিশ্বাস করতে পারছি না টমকে বরখাস্ত করা হয়েছে।
I couldn't move my right foot.,আমি আমার ডান পাটা নাড়াতে পারিনি।
I didn't want to frighten you.,আমি তোমাকে ভয় দেখাতে চাইনি।
I don't go to work on Sundays.,আমি রবিবার করে কাজে যাই না।
I don't like my mother-in-law.,আমার শাশুড়িকে আমি পছন্দ করি না।
I eagerly await your decision.,আমি অধীর আগ্রহে আপনার সিদ্ধান্তের জন্য অপেক্ষা করছি।
I forgot to ask for a receipt.,আমি রসিদ চাইতে ভুলে গিয়েছিলাম।
I found that book interesting.,আমার ওই বইটা আকর্ষণীয় বলে মনে হয়েছিল।
I found this book interesting.,আমার এই বইটা আকর্ষণীয় বলে মনে হয়েছিল।
I haven't done this for years.,আমি এটা অনেক বছর ধরে করিনি।
I hope that that won't happen.,আশা করি সেটা ঘটবে না।
I hope that that won't happen.,আশা করছি সেটা হবে না।
I hope you're willing to help.,আমি আশা করছি আপনি সাহায্য করতে চাচ্ছেন।
I just don't know what to say.,আমি জানিনা ঠিক কি বলবো।
I know nothing about robotics.,আমি রোবোটিক্স বিষয়ে কিছু জানি না।
I learned to live without her.,আমি তাকে ছাড়া বাঁচতে শিখেছি।
I learned to live without her.,আমি ওকে ছাড়া বাঁচতে শিখেছি।
I like reading mystery novels.,আমার রহস্য উপন্যাস পড়তে ভালো লাগে।
I play the piano after supper.,আমি রাতের খাবারের পরে পিয়ানো বাজাই।
I thought you didn't like Tom.,আমি ভেবেছিলাম তুমি টমকে পছন্দ করো না।
I want to be more independent.,আমি আরও স্বাধীন হতে চাই।
I want to eat Chinese noodles.,আমি চাইনিজ নুডলস খেতে চাই।
I want to know who started it.,কে শুরু করলো আমি জানতে চাই।
I want to sleep a little more.,আমি আর একটু ঘুমাতে চাই।
I wanted to ask you something.,আমি আপনাকে কিছু জিজ্ঞাসা করতে চেয়েছিলাম।
I warned you not to come here.,আমি আপনাকে এখানে আসার ব্যাপারে সতর্ক করেছিলাম।
I wish to visit Egypt someday.,আমি একদিন মিশরে যেতে চাই।
I wish to visit Egypt someday.,আমার একদিন মিশরে যাওয়ার ইচ্ছে আছে।
I'd like a first-class ticket.,আমার একটা প্রথম শ্রেণীর টিকিট চাই।
I'd like to confirm my ticket.,আমি আমার টিকিটটি নিশ্চিত করতে চাই।
I'd rather stay here with you.,আমি বরং তোমার সাথে এখানে থাকবো।
I'll be back in three minutes.,আমি তিন মিনিটের মধ্যে ফিরে আসবো।
I'm giving it to you for free.,আমি আপনাকে এটি বিনামূল্যে দিচ্ছি।
I'm looking for a cheap hotel.,আমি একটা সস্তা হোটেল খুঁজছি।
I'm not going to wait for you.,আমি তোমার জন্য অপেক্ষা করব না।
I'm not very good at swimming.,আমি সাঁতারে খুব একটা ভালো নই।
I'm sitting alone in my house.,আমি আমার বাসায় একা বসে আছি।
I'm sure I've seen him before.,আমি নিশ্চিত যে আমি তাকে আগেও দেখেছি।
Is Tom Jackson your real name?,টম জ্যাকসন কি তোমার আসল নাম?
Is Tom Jackson your real name?,টম জ্যাকসন কি আপনার আসল নাম?
Is Tom aware of what Mary did?,মেরি কী করেছে তা কি টম জানে?
Is there a hospital near here?,এখানে কাছাকাছির মধ্যে কোনো হাসপাতাল আছে?
Is this movie based on a book?,এই সিনেমা কি কোনো বইয়ের উপর ভিত্তি করে তৈরি করা হয়েছে?
It was an excellent editorial.,এটি একটি চমৎকার সম্পাদকীয় ছিল।
It was cheaper than I thought.,আমি যা ভেবেছিলাম তার থেকে অনেক সস্তা ছিল।
It's already past ten o'clock.,ইতিমধ্যে রাত দশটা পার হয়ে গেছে।
Japan is not as big as Canada.,জাপান কানাডার মতো বড় নয়।
Kindly mind your own business.,দয়া করে নিজের চরকায় তেল দিন।
Let's forget about last night.,চলুন গত রাতের কথা ভুলে যাই।
May I borrow your car tonight?,আমি কি আজ রাতে আপনার গাড়ি ধার নিতে পারি?
My father can fly an airplane.,আমার বাবা প্লেন ওড়াতে পারে।
My father doesn't like soccer.,আমার বাবা ফুটবল পছন্দ করে না।
My hobby is collecting stamps.,আমার শখ ডাকটিকিট সংগ্রহ করা।
My luggage hasn't arrived yet.,আমার মালপত্র এখনো এসে পৌঁছায়নি।
"Show me a cheaper one, please.",আমাকে আরো সস্তা একটা দেখান।
"Show me your passport, please.",অনুগ্রহ করে আপনার পাসপোর্টটি দেখাবেন।
The robot went out of control.,রোবটটি নিয়ন্ত্রণের বাইরে চলে গিয়েছিল।
Those two pieces fit together.,ওই দুটো টুকরো একসাথে এঁটে যায়।
Tom always keeps his promises.,টম সবসময় তার কথা রাখে।
Tom always keeps his promises.,টম সবসময় তাঁর কথা রাখেন।
Tom always keeps his promises.,টম সবসময় ওনার কথা রাখেন।
Tom always keeps his promises.,টম সবসময় ওর কথা রাখে।
Tom and John are good friends.,টম এবং জন ভালো বন্ধু।
Tom and Mary are good singers.,টম এবং মেরি ভালো গায়ক।
Tom asked me where Mary lived.,মেরি কোথায় থাকে সেটা টম জানতে চাইল।
Tom can explain the situation.,টম পরিস্থিতি ব্যাখ্যা করতে পারবে।
Tom doesn't know Mary is here.,টম জানে না যে মেরি এখানে।
Tom earns twice as much as me.,টম আমার থেকে দ্বিগুন আয় করে।
Tom helped Mary set the table.,টম মেরিকে টেবিল সেট করতে সাহায্য করে।
Tom kept silent during dinner.,টম রাতের খাবারের সময় চুপচাপ ছিল।
Tom kept silent during dinner.,টম রাতের খাবারের সময় চুপচাপ ছিলেন।
Tom says he's going to resign.,টম বলছে যে ও পদত্যাগ করবে।
Tom slept with his clothes on.,টম তার জামা পরেই ঘুমিয়েছে।
Tom started cursing in French.,টম ফরাসিতে গালাগালি দেওয়া শুরু করলো।
Tom tried to keep his chin up.,টম তার মুখ উঁচু রাখার চেষ্টা করেছিল।
Tom tried to keep his chin up.,টম তাঁর মুখ উঁচু রাখার চেষ্টা করেছিলেন।
Tom tried to keep his chin up.,টম ওর মুখ উঁচু রাখার চেষ্টা করেছিল।
Tom tried to keep his chin up.,টম ওনার মুখ উঁচু রাখার চেষ্টা করেছিলেন।
Tom used to be scared of dogs.,টমের কুকুরের প্রতি ভয় ছিলো।
Tom wanted to see Mary's room.,টম মেরির কক্ষ দেখতে চেয়েছিল।
Tom was killed in an accident.,টম একটা দুর্ঘটনায় মারা গেছে।
Tomorrow I'll buy what I need.,আমার প্রয়োজনীয় জিনিস আমি আগামীকাল কিনবো।
Turn right at the next corner.,পরের মোড়টায় ডানদিকে বেঁকে যাবেন।
We both know this isn't right.,আমরা দুজনেই জানি যে এটা ঠিক নয়।
We couldn't agree on anything.,আমরা কিছুতেই একমত হতে পারিনি।
We don't live in fear anymore.,আমরা আর ভয়ে বাঁচি না।
We have room for three others.,আমাদের আরও তিন জনের জন্য জায়গা আছে।
We met last year in Australia.,আমাদের গত বছর অস্ট্রেলিয়ায় দেখা হয়েছিল।
What are you suggesting we do?,আপনি আমাদের কী পরামর্শ দিচ্ছেন?
What sort of hats do you like?,আপনি কোন ধরনের টুপি পছন্দ করেন?
What time do you start school?,কয়টার সময় তোমার স্কুল শুরু হয়?
When do you usually go to bed?,আপনি সাধারণত কটার সময় শুতে যান?
When do you usually go to bed?,তুমি সাধারণত কটার সময় শুতে যাও?
Where can I buy that magazine?,আমি ওই পত্রিকাটা কোথা থেকে কিনতে পারব?
Where did you buy this guitar?,আপনি এই গিটারটি কোথায় থেকে কিনেছেন?
Where is the closest hospital?,কাছাকাছির মধ্যে হাসপাতালটা কোথায় আছে?
Why are you all afraid of Tom?,আপনারা সবাই টমকে ভয় পান কেন?
Why aren't you coming with us?,আমাদের সাথে আসছেন না কেন?
Why aren't you coming with us?,আমাদের সাথে আসছো না কেন?
Why can't I remember anything?,আমি কেন কিছু মনে করতে পারছি না?
Why did you give money to Tom?,আপনি টমকে টাকা দিয়েছিলেন কেন?
Why do I have to go to Boston?,আমাকে কেন বস্টন যেতে হবে?
Why don't you go to Australia?,আপনি অস্ট্রেলিয়াতে যাচ্ছেন না কেন?
Why don't you kiss me anymore?,তুমি আমাকে আর চুমু দাও না কেন?
Why would Tom want to hurt me?,টম কেন আমাকে আঘাত করতে চাইবে?
Why's everyone staring at you?,সবাই আপনার দিকে তাকিয়ে আছে কেন?
You can eat anything you want.,আপনার যেটা ইচ্ছে হয় সেটা খেতে পারেন।
You can eat anything you want.,তোমার যেটা ইচ্ছে হয় সেটা খেতে পারো।
You can eat whatever you like.,আপনার যা ইচ্ছে তাই খেতে পারেন।
You can eat whatever you like.,তোমার যা ইচ্ছে তাই খেতে পারো।
You shouldn't speak so loudly.,তোমার এত জোরে কথা বলা উচিত নয়।
You'd better not eat too much.,আপনার খুব বেশি খাওয়া উচিত না।
Your bike is better than mine.,তোমার বাইকটা আমারটা থেকে ভাল।
"I want to go home. ""So do I.""","আমি বাড়ি যেতে চাই। ""আমিও।"""
A map helps us study geography.,মানচিত্র আমাদের ভূগোল পাঠে সহায়তা করে।
Anyone may use this dictionary.,যে কেউ এই অভিধানটি ব্যবহার করতে পারেন।
Can you buy one for me as well?,আপনি কি আমার জন্যও একটি কিনতে পারবেন?
"Can you gift-wrap this, please?",এটা কি একটু গিফট-র্যাপ করে দিতে পারবেন?
Do you have any cough medicine?,আপনাদের কাছে কোনো কাশির অষুধ আছে?
Do you have any cough medicine?,আপনার কাছে কোনো কাশির অষুধ আছে?
Do you intend to come tomorrow?,আপনি কি আগামীকাল আসতে চান?
Do you know what I really want?,আপনি কি জানেন আমি সত্যিই কী চাই?
Do you think you could help me?,আপনি মনে হয় যে আপনি আমাকে সাহায্য করতে পারেন?
Does this bus go to the museum?,এই বাসটা কি জাদুঘর অবধি যায়?
Don't let Tom watch that movie.,টমকে ওই সিনেমা দেখতে দেবেন না।
Few people know about the plan.,কম লোকই পরিকল্পনাটির ব্যাপারে জানে।
Finish it before you go to bed.,ঘুমাতে যাওয়ার আগে ওটা শেষ করে ফেলুন।
Finish it before you go to bed.,ঘুমাতে যাওয়ার আগে ওটা শেষ করে ফেলো।
Finish it before you go to bed.,ঘুমাতে যাওয়ার আগে ওটা শেষ করে ফেল্।
Give us a call when you arrive.,আপনি পৌঁছে আমাদের কল দেবেন।
He came to my office yesterday.,তিনি গতকাল আমার অফিসে এসেছিলেন।
